Individual,OccurID,State,County,Beach,Monitoring,Date_Time,Latitude,Longitude,Condition,Class,Order,Suborder,Family,Genus,Species,DevStage,LOCATION,Year,month,day,season
10197,PBFAV20150901i000003,Santa Catarina,Garopaba,Praia da Silveira,Daily,01SEP15:08:01:00,-28.04189,-48.61,Dead,Aves,Sphenisciformes,,Spheniscidae,Spheniscus,Spheniscus magellanicus,Juvenile,CENTR,2015,9,1,fall
9796,PBFAV20150901i000002,Santa Catarina,Garopaba,Praia da Silveira,Daily,01SEP15:08:14:00,-28.04025,-48.60937,Dead,Aves,Sphenisciformes,,Spheniscidae,Spheniscus,Spheniscus magellanicus,Juvenile,CENTR,2015,9,1,fall
9729,PBFAV20150901i000001,Santa Catarina,Garopaba,Praia da Silveira,Daily,01SEP15:08:23:00,-28.04007,-48.60928,Dead,Aves,Sphenisciformes,,Spheniscidae,Spheniscus,Spheniscus magellanicus,Juvenile,CENTR,2015,9,1,fall
6409,PBFRE20150903i000002,Santa Catarina,Garopaba,Praia de Garopaba,Daily,03SEP15:07:40:00,-28.02122,-48.62161,Dead,Reptilia,Testudines,Cryptodira,Cheloniidae,Chelonia,Chelonia mydas,Juvenile,CENTR,2015,9,3,fall
10238,PBFAV20150903i000003,Santa Catarina,Imbituba,Praia do Rosa,Daily,03SEP15:07:54:00,-28.12827,-48.64144,Dead,Aves,Sphenisciformes,,Spheniscidae,Spheniscus,Spheniscus magellanicus,Adult,SOUTH,2015,9,3,fall
4054,PBFAV20150903i000001,Santa Catarina,Imbituba,Praia do Rosa,Daily,03SEP15:08:48:00,-28.12493,-48.64027,Dead,Aves,Procellariiformes,,Procellariidae,Puffinus,Puffinus puffinus,Unknown,SOUTH,2015,9,3,fall
10259,PBFAV20150904i000004,Santa Catarina,Imbituba,Praia do Rosa,Daily,04SEP15:07:12:00,-28.13073,-48.64227,Dead,Aves,Charadriiformes,,Laridae,Larus,Larus dominicanus,Adult,SOUTH,2015,9,4,fall
5210,PBFAV20150904i000003,Santa Catarina,Garopaba,Praia da Ferrugem,Daily,04SEP15:07:43:00,-28.08212,-48.62896,Dead,Aves,Sphenisciformes,,Spheniscidae,Spheniscus,Spheniscus magellanicus,Juvenile,CENTR,2015,9,4,fall
2502,PBFRE20150904i000001,Santa Catarina,Garopaba,Praia do Siriú,Daily,04SEP15:08:18:00,-27.97817,-48.62929,Dead,Reptilia,Testudines,Cryptodira,Cheloniidae,Chelonia,Chelonia mydas,Juvenile,CENTR,2015,9,4,fall
5043,PBFRE20150904i000002,Santa Catarina,Garopaba,Praia do Siriú,Daily,04SEP15:08:31:00,-27.97818,-48.629276,Dead,Reptilia,Testudines,Cryptodira,Cheloniidae,Chelonia,Chelonia mydas,Juvenile,CENTR,2015,9,4,fall
1538,PBFAV20150905i000001,Santa Catarina,Imbituba,Praia do Rosa,Daily,05SEP15:08:36:00,-28.13153,-48.64256,Dead,Aves,Procellariiformes,,Procellariidae,Puffinus,Puffinus puffinus,Unknown,SOUTH,2015,9,5,fall
5498,PBFMA20150905i000002,Santa Catarina,Imbituba,Praia Vermelha,Weekly,05SEP15:10:02:00,-28.11577,-48.63603,Dead,Mammalia,Carnivora,Caniformia,Otariidae,Otaria,Otaria flavescens,Juvenile,SOUTH,2015,9,5,fall
